id,color,name,price,XS (28),S (30б),M (32),L (34),XL (36),XXL,total,relevant_VK,sold,notes,
,,,,,,,,,,,,,,
,,,,,,,,,,,"** При создании упомяналось об актуализации размеров в разделе ""Описание""",,,
,,CONVERSE,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ЮНОСТЬ Лонг (Белый) КФС,,2,1,1,1,,,5,,,есть грязные,
,,ЮНОСТЬ Лонг (Черный) КФС,,,1,1,,,,2,,,,
,,"ЮНОСТЬ Лонг (Черно-белый) ""Назад пути нет""",,1,,,,,,1,,,,
,,"ЮНОСТЬ Свитшот ""Назад пути нет""",,1,,,,,,1,,,,
,,"ЮНОСТЬ Футболка (Черный) ""Мне мало""",,1,1,,,,,2,,,,
,,"ЮНОСТЬ Футболка (Черный) ""Крайм Тайм""",,1,,,,,,1,,,,
,,ЮНОСТЬ Футболка (Черный) (круглое жёлтое лого),,,,1,,,,1,,,,
,,"ЮНОСТЬ Футболка (Черный) ""Не спасти. Не сохранить""",,,1,,,,,1,,,,
,,ЮНОСТЬ Шорты (Белый),,,,1,,,,1,,,,
,,ЮНОСТЬ Шорты (Синий),,,,2,,,,2,,,,
,,"СЕВЕР Футболка белая ""Молодость.Злость. Наглость""",,,1,,,,,1,,,,
,,СЕВЕР Толстовка Zip (Черный),,,1,1,,,,2,,,,
,,СЕВЕР Футболка (Белый) (лого рефлеткив),,1,,,,,,1,,,грязная,
,,"СЕВЕР Футболка (Белый) ""Живу грешно. Умру смешно""",,1,,,,,,1,,,грязная,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,SKILLS,,,,,,,,,,,,
,,Анорак SKILLS (Серый),"р.4 200,00",1,1,,,1,,3,,,(яра хотел бы один анорак купить),
,,Анорак SKILLS (Розовый),"р.4 200,00",1,1,1,,,,3,,,,
,,Анорак SKILLS (Зеленый),"р.4 200,00",1,2,1,1,,,5,,,,
,,Анорак SKILLS (Голубой),"р.4 200,00",1,2,1,1,,,5,,,,
,,Анорак SKILLS (Красно-синий),"р.4 200,00",,1,,,1,,2,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,TRUESPIN,,,,,,,,,,,,
,,"Куртка TRUESPIN ""Coldcity"" (Черный)","р.6 490,00",1,1,,,,,2,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,SALE,,,,,,,,,,,,
