id,name,price,count,35 (22cm),36 (22.5cm),36.5 (23cm),37 (23.5cm),37.5 (24cm),38 (24.5cm),38.5,39 (24.5cm),39.5 ,40 (25cm),40.5 (25.5cm),41 (26cm),41.5 (26.5cm),42 (27cm),42.5 (27.5cm),43 (28cm),44 (28.5cm),44.5 (29cm),45 (29.5cm),46 (30cm),46.5 (30.5cm),47 (31cm),48 (31.5cm),notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONVERSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Converse Chuck Taylor 70,,,,,,,,,,,,,,,,,,,,,,,,,,
VN-0EE3R3D,Vans Autentic (Red),"р.3 990,00",1,,1,,,,,,,,,,,,,,,,,,,,,,
VN-0 EWZNVY,Vans Era (Navy),"р.3 990,00",2,,,1,1,,,,,,,,,,,,,,,,,,,,
VN0A38FSUK5,Vans Era 59 (Royale),"р.3 990,00",2,,,,,,,,,,,,1,,,,,1,,,,,,,(44 размер в коробке у ресепшена)
721454,Vans Era 59 (Pink),"р.3 990,00",3,,,,,,1,1,,,1,,,,,,,,,,,,,,(40 размер в коробке у ресепшена)
VN-0 T9N76N,Vans Authentic Lo Pro (Бардо),"р.3 990,00",1,,1,,,,,,,,,,,,,,,,,,,,,,
VN0A4BV7XKN1,Vans SK8-HI Mte (MonoBlack),"р.9 500,00",6,,,,1,,1,1,1,,1,1,,,,,,,,,,,,,
VN0A33TXUQ81,Vans SK8-HI Mte (Хакки),"р.6 850,00",3,,,,1,,,,1,,,1,,,,,,,,,,,,,
VN0A33TXLQP,Vans SK8-HI Mte (Black/Rosin),"р.9 500,00",1,,,,,,,,,,1,,,,,,,,,,,,,,
,Vans SK8-HI Mte (Pewter) (Серый),"р.9 500,00",0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR MARTENS,,,,,,,,,,,,,,,,,,,,,,,,,,
14353001,1460 MONO BLACK SMOOTH ,"р.13 290,00",1,,,,,,,,,,,,,,,,,,,1,,,,,
22008001,1460 PASCAL w/zip (MonoBlack) AUNT SALLY,"р.13 290,00",1,,,,,,,,,,,,,,1,,,,,,,,,,
10072004,1460 BLACK SMOOTH,"р.13 290,00",0,,,,,,,,,,,,,,,,,,,,,,,,
